##SIR model beta=0.2000 gamma=0.1000  produced by macroInfection[.cpp]
#time[days]	S	I	R
254.0000	0.20285	0.00001	0.79714
255.0000	0.20285	0.00001	0.79714
256.0000	0.20285	0.00001	0.79714
257.0000	0.20285	0.00001	0.79714
258.0000	0.20285	0.00001	0.79714
259.0000	0.20285	0.00000	0.79715
260.0000	0.20285	0.00000	0.79715
261.0000	0.20285	0.00000	0.79715
262.0000	0.20285	0.00000	0.79715
263.0000	0.20285	0.00000	0.79715
264.0000	0.20285	0.00000	0.79715
265.0000	0.20285	0.00000	0.79715
266.0000	0.20285	0.00000	0.79715
267.0000	0.20285	0.00000	0.79715
268.0000	0.20285	0.00000	0.79715
269.0000	0.20285	0.00000	0.79715
270.0000	0.20285	0.00000	0.79715
271.0000	0.20285	0.00000	0.79715
272.0000	0.20285	0.00000	0.79715
273.0000	0.20285	0.00000	0.79715
274.0000	0.20285	0.00000	0.79715
275.0000	0.20285	0.00000	0.79715
276.0000	0.20285	0.00000	0.79715
277.0000	0.20285	0.00000	0.79715
278.0000	0.20285	0.00000	0.79715
279.0000	0.20285	0.00000	0.79715
280.0000	0.20285	0.00000	0.79715
281.0000	0.20285	0.00000	0.79715
282.0000	0.20285	0.00000	0.79715
283.0000	0.20285	0.00000	0.79715
284.0000	0.20285	0.00000	0.79715
285.0000	0.20285	0.00000	0.79715
286.0000	0.20285	0.00000	0.79715
287.0000	0.20285	0.00000	0.79715
288.0000	0.20285	0.00000	0.79715
289.0000	0.20285	0.00000	0.79715
290.0000	0.20285	0.00000	0.79715
291.0000	0.20285	0.00000	0.79715
292.0000	0.20285	0.00000	0.79715
293.0000	0.20285	0.00000	0.79715
294.0000	0.20285	0.00000	0.79715
295.0000	0.20285	0.00000	0.79715
296.0000	0.20285	0.00000	0.79715
297.0000	0.20285	0.00000	0.79715
298.0000	0.20285	0.00000	0.79715
299.0000	0.20285	0.00000	0.79715
300.0000	0.20285	0.00000	0.79715
301.0000	0.20285	0.00000	0.79715
302.0000	0.20285	0.00000	0.79715
303.0000	0.20285	0.00000	0.79715
304.0000	0.20285	0.00000	0.79715
305.0000	0.20285	0.00000	0.79715
306.0000	0.20285	0.00000	0.79715
307.0000	0.20285	0.00000	0.79715
308.0000	0.20285	0.00000	0.79715
309.0000	0.20285	0.00000	0.79715
310.0000	0.20285	0.00000	0.79715
311.0000	0.20285	0.00000	0.79715
312.0000	0.20285	0.00000	0.79715
313.0000	0.20285	0.00000	0.79715
314.0000	0.20285	0.00000	0.79715
315.0000	0.20285	0.00000	0.79715
316.0000	0.20285	0.00000	0.79715
317.0000	0.20285	0.00000	0.79715
318.0000	0.20285	0.00000	0.79715
319.0000	0.20285	0.00000	0.79715
320.0000	0.20285	0.00000	0.79715
321.0000	0.20285	0.00000	0.79715
322.0000	0.20285	0.00000	0.79715
323.0000	0.20285	0.00000	0.79715
324.0000	0.20285	0.00000	0.79715
