##SEIR model beta=0.4000 gamma=0.2000 alpha=0.2000  produced by macroInfection[.cpp]
#time[days]	S	E	I	R
401.0000	0.2025	0.0000	0.0000	0.7975
402.0000	0.2025	0.0000	0.0000	0.7975
403.0000	0.2025	0.0000	0.0000	0.7975
404.0000	0.2025	0.0000	0.0000	0.7975
405.0000	0.2025	0.0000	0.0000	0.7975
406.0000	0.2025	0.0000	0.0000	0.7975
407.0000	0.2025	0.0000	0.0000	0.7975
408.0000	0.2025	0.0000	0.0000	0.7975
409.0000	0.2025	0.0000	0.0000	0.7975
410.0000	0.2025	0.0000	0.0000	0.7975
411.0000	0.2025	0.0000	0.0000	0.7975
412.0000	0.2025	0.0000	0.0000	0.7975
413.0000	0.2025	0.0000	0.0000	0.7975
414.0000	0.2025	0.0000	0.0000	0.7975
415.0000	0.2025	0.0000	0.0000	0.7975
416.0000	0.2025	0.0000	0.0000	0.7975
417.0000	0.2025	0.0000	0.0000	0.7975
418.0000	0.2025	0.0000	0.0000	0.7975
419.0000	0.2025	0.0000	0.0000	0.7975
420.0000	0.2025	0.0000	0.0000	0.7975
421.0000	0.2025	0.0000	0.0000	0.7975
422.0000	0.2025	0.0000	0.0000	0.7975
423.0000	0.2025	0.0000	0.0000	0.7975
424.0000	0.2025	0.0000	0.0000	0.7975
425.0000	0.2025	0.0000	0.0000	0.7975
426.0000	0.2025	0.0000	0.0000	0.7975
427.0000	0.2025	0.0000	0.0000	0.7975
428.0000	0.2025	0.0000	0.0000	0.7975
429.0000	0.2025	0.0000	0.0000	0.7975
430.0000	0.2025	0.0000	0.0000	0.7975
431.0000	0.2025	0.0000	0.0000	0.7975
432.0000	0.2025	0.0000	0.0000	0.7975
433.0000	0.2025	0.0000	0.0000	0.7975
434.0000	0.2025	0.0000	0.0000	0.7975
435.0000	0.2025	0.0000	0.0000	0.7975
436.0000	0.2025	0.0000	0.0000	0.7975
437.0000	0.2025	0.0000	0.0000	0.7975
438.0000	0.2025	0.0000	0.0000	0.7975
439.0000	0.2025	0.0000	0.0000	0.7975
440.0000	0.2025	0.0000	0.0000	0.7975
441.0000	0.2025	0.0000	0.0000	0.7975
442.0000	0.2025	0.0000	0.0000	0.7975
443.0000	0.2025	0.0000	0.0000	0.7975
444.0000	0.2025	0.0000	0.0000	0.7975
