##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
221.0000	0.41765	0.00002	0.58233
222.0000	0.41765	0.00002	0.58233
223.0000	0.41765	0.00001	0.58233
224.0000	0.41765	0.00001	0.58233
225.0000	0.41765	0.00001	0.58233
226.0000	0.41765	0.00001	0.58234
227.0000	0.41765	0.00001	0.58234
228.0000	0.41765	0.00001	0.58234
229.0000	0.41765	0.00001	0.58234
230.0000	0.41765	0.00001	0.58234
231.0000	0.41765	0.00001	0.58234
232.0000	0.41765	0.00001	0.58234
233.0000	0.41765	0.00001	0.58234
234.0000	0.41765	0.00001	0.58234
235.0000	0.41765	0.00001	0.58234
236.0000	0.41765	0.00001	0.58234
237.0000	0.41765	0.00000	0.58234
238.0000	0.41765	0.00000	0.58235
239.0000	0.41765	0.00000	0.58235
240.0000	0.41765	0.00000	0.58235
241.0000	0.41765	0.00000	0.58235
242.0000	0.41765	0.00000	0.58235
243.0000	0.41765	0.00000	0.58235
244.0000	0.41765	0.00000	0.58235
245.0000	0.41765	0.00000	0.58235
246.0000	0.41765	0.00000	0.58235
247.0000	0.41765	0.00000	0.58235
248.0000	0.41765	0.00000	0.58235
249.0000	0.41765	0.00000	0.58235
250.0000	0.41765	0.00000	0.58235
251.0000	0.41765	0.00000	0.58235
252.0000	0.41765	0.00000	0.58235
253.0000	0.41765	0.00000	0.58235
254.0000	0.41765	0.00000	0.58235
255.0000	0.41765	0.00000	0.58235
256.0000	0.41765	0.00000	0.58235
257.0000	0.41765	0.00000	0.58235
258.0000	0.41765	0.00000	0.58235
259.0000	0.41765	0.00000	0.58235
260.0000	0.41765	0.00000	0.58235
261.0000	0.41765	0.00000	0.58235
262.0000	0.41765	0.00000	0.58235
263.0000	0.41765	0.00000	0.58235
264.0000	0.41765	0.00000	0.58235
265.0000	0.41765	0.00000	0.58235
266.0000	0.41765	0.00000	0.58235
267.0000	0.41765	0.00000	0.58235
268.0000	0.41765	0.00000	0.58235
269.0000	0.41765	0.00000	0.58235
270.0000	0.41765	0.00000	0.58235
271.0000	0.41765	0.00000	0.58235
272.0000	0.41765	0.00000	0.58235
273.0000	0.41765	0.00000	0.58235
274.0000	0.41765	0.00000	0.58235
275.0000	0.41765	0.00000	0.58235
276.0000	0.41765	0.00000	0.58235
277.0000	0.41765	0.00000	0.58235
278.0000	0.41765	0.00000	0.58235
279.0000	0.41765	0.00000	0.58235
280.0000	0.41765	0.00000	0.58235
281.0000	0.41765	0.00000	0.58235
282.0000	0.41765	0.00000	0.58235
283.0000	0.41765	0.00000	0.58235
284.0000	0.41765	0.00000	0.58235
285.0000	0.41765	0.00000	0.58235
286.0000	0.41765	0.00000	0.58235
287.0000	0.41765	0.00000	0.58235
288.0000	0.41765	0.00000	0.58235
289.0000	0.41765	0.00000	0.58235
290.0000	0.41765	0.00000	0.58235
291.0000	0.41765	0.00000	0.58235
292.0000	0.41765	0.00000	0.58235
293.0000	0.41765	0.00000	0.58235
294.0000	0.41765	0.00000	0.58235
295.0000	0.41765	0.00000	0.58235
296.0000	0.41765	0.00000	0.58235
297.0000	0.41765	0.00000	0.58235
298.0000	0.41765	0.00000	0.58235
299.0000	0.41765	0.00000	0.58235
300.0000	0.41765	0.00000	0.58235
301.0000	0.41765	0.00000	0.58235
302.0000	0.41765	0.00000	0.58235
303.0000	0.41765	0.00000	0.58235
304.0000	0.41765	0.00000	0.58235
305.0000	0.41765	0.00000	0.58235
306.0000	0.41765	0.00000	0.58235
307.0000	0.41765	0.00000	0.58235
308.0000	0.41765	0.00000	0.58235
309.0000	0.41765	0.00000	0.58235
